 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                rb78          rb79          rb80          rb81          rb82          rb83          rb84          rb85 
    149  5.240275279905E-02  1.000000E-30  1.000000E-30  2.152945E-28  7.951289E-25  1.389545E-22  1.581815E-19  1.219201E-17  6.047429E-15
    150  5.258707116153E-02  1.000000E-30  1.000000E-30  2.311630E-28  8.886785E-25  1.597527E-22  1.888680E-19  1.495770E-17  7.691147E-15
    151  5.276353482958E-02  1.000000E-30  1.000000E-30  2.445234E-28  9.769452E-25  1.804513E-22  2.212265E-19  1.798237E-17  9.571043E-15
    152  5.293536770993E-02  1.000000E-30  1.000000E-30  2.551918E-28  1.058617E-24  2.007910E-22  2.550435E-19  2.126438E-17  1.170532E-14
    153  5.310288915571E-02  1.000000E-30  1.000000E-30  2.628796E-28  1.131259E-24  2.202027E-22  2.895522E-19  2.474739E-17  1.407746E-14
    154  5.325369291828E-02  1.000000E-30  1.000000E-30  2.670672E-28  1.188001E-24  2.367298E-22  3.211755E-19  2.807168E-17  1.644921E-14
    155  5.339308966526E-02  1.000000E-30  1.000000E-30  2.685012E-28  1.231589E-24  2.508029E-22  3.502689E-19  3.125535E-17  1.882419E-14
    156  5.362726198018E-02  1.000000E-30  1.000000E-30  2.653884E-28  1.282022E-24  2.708195E-22  3.971238E-19  3.669163E-17  2.314091E-14
    157  5.383816121000E-02  1.000000E-30  1.000000E-30  2.566588E-28  1.299194E-24  2.837092E-22  4.348645E-19  4.146852E-17  2.727236E-14
    158  5.403768730975E-02  1.000000E-30  1.000000E-30  2.438303E-28  1.290403E-24  2.908311E-22  4.649552E-19  4.568654E-17  3.126513E-14
    159  5.422986619970E-02  1.000000E-30  1.000000E-30  2.281478E-28  1.260394E-24  2.928698E-22  4.876461E-19  4.932130E-17  3.507230E-14
    160  5.440569294967E-02  1.000000E-30  1.000000E-30  2.116657E-28  1.216354E-24  2.906681E-22  5.023845E-19  5.217733E-17  3.843202E-14
    161  5.456994612052E-02  1.000000E-30  1.000000E-30  1.951232E-28  1.163433E-24  2.854110E-22  5.108314E-19  5.438695E-17  4.139981E-14
    162  5.485681963417E-02  1.000000E-30  1.000000E-30  1.652550E-28  1.051249E-24  2.700198E-22  5.137195E-19  5.711647E-17  4.605116E-14
    163  5.511708850657E-02  1.000000E-30  1.000000E-30  1.388494E-28  9.366278E-25  2.508233E-22  5.044738E-19  5.834944E-17  4.957761E-14
    164  5.536560227933E-02  1.000000E-30  1.000000E-30  1.155187E-28  8.242451E-25  2.296977E-22  4.871616E-19  5.851441E-17  5.227087E-14
    165  5.559867087093E-02  1.000000E-30  1.000000E-30  9.588706E-29  7.211986E-25  2.086245E-22  4.650426E-19  5.787316E-17  5.418841E-14
    166  5.582344501454E-02  1.000000E-30  1.000000E-30  7.918146E-29  6.267217E-25  1.879446E-22  4.396110E-19  5.661585E-17  5.548488E-14
    167  5.608267729631E-02  1.000000E-30  1.000000E-30  6.272541E-29  5.265960E-25  1.646069E-22  4.070135E-19  5.453375E-17  5.633815E-14
    168  5.632179590432E-02  1.000000E-30  1.000000E-30  5.007576E-29  4.438789E-25  1.441527E-22  3.751684E-19  5.213896E-17  5.655424E-14
    169  5.658568452696E-02  1.000000E-30  1.000000E-30  3.864943E-29  3.637874E-25  1.232216E-22  3.393307E-19  4.910246E-17  5.620746E-14
    170  5.682194908758E-02  1.000000E-30  1.000000E-30  3.038863E-29  3.018242E-25  1.061544E-22  3.074910E-19  4.613649E-17  5.542541E-14
    171  5.707748662895E-02  1.000000E-30  1.000000E-30  2.323204E-29  2.445628E-25  8.958639E-23  2.740821E-19  4.276917E-17  5.413871E-14
    172  5.730159219632E-02  1.000000E-30  1.000000E-30  1.823281E-29  2.019851E-25  7.667681E-23  2.461131E-19  3.975157E-17  5.268455E-14
    173  5.769211250520E-02  1.000000E-30  1.000000E-30  1.177425E-29  1.426383E-25  5.763141E-23  2.011603E-19  3.450797E-17  4.956085E-14
