 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ti46          ti47          ti48          ti49          ti50          ti51          ti52          ti53 
    155  5.339308966526E-02  1.849269E-18  9.720378E-16  2.359080E-12  2.164694E-10  1.179211E-07  2.523613E-07  7.883349E-07  2.184776E-07
    156  5.362726198018E-02  1.345374E-18  7.360484E-16  1.879580E-12  1.786879E-10  1.020589E-07  2.241276E-07  7.224602E-07  2.047772E-07
    157  5.383816121000E-02  9.892282E-19  5.613102E-16  1.501634E-12  1.474040E-10  8.788557E-08  1.975550E-07  6.551169E-07  1.894978E-07
    158  5.403768730975E-02  7.259876E-19  4.265384E-16  1.193123E-12  1.207375E-10  7.499336E-08  1.723464E-07  5.871129E-07  1.731295E-07
    159  5.422986619970E-02  5.302009E-19  3.221960E-16  9.411297E-13  9.807515E-11  6.337249E-08  1.487833E-07  5.201804E-07  1.562696E-07
    160  5.440569294967E-02  3.923260E-19  2.459119E-16  7.475021E-13  8.002196E-11  5.361458E-08  1.283625E-07  4.595999E-07  1.404430E-07
    161  5.456994612052E-02  2.927597E-19  1.888993E-16  5.960515E-13  6.543579E-11  4.535281E-08  1.105900E-07  4.048884E-07  1.257129E-07
    162  5.485681963417E-02  1.712764E-19  1.162227E-16  3.914426E-13  4.490625E-11  3.302248E-08  8.314782E-08  3.165363E-07  1.010658E-07
    163  5.511708850657E-02  1.025821E-19  7.284998E-17  2.603098E-13  3.108331E-11  2.411992E-08  6.252979E-08  2.466412E-07  8.077345E-08
    164  5.536560227933E-02  6.157007E-20  4.563338E-17  1.724589E-13  2.139711E-11  1.747729E-08  4.659195E-08  1.901221E-07  6.379465E-08
    165  5.559867087093E-02  3.750469E-20  2.890260E-17  1.150668E-13  1.479930E-11  1.268332E-08  3.471156E-08  1.462397E-07  5.020443E-08
    166  5.582344501454E-02  2.289454E-20  1.829496E-17  7.656843E-14  1.019726E-11  9.156683E-09  2.570514E-08  1.116979E-07  3.920322E-08
    167  5.608267729631E-02  1.276864E-20  1.060814E-17  4.700068E-14  6.516818E-12  6.175681E-09  1.785383E-08  8.040716E-08  2.895153E-08
    168  5.632179590432E-02  7.372877E-21  6.321293E-18  2.950140E-14  4.245789E-12  4.228593E-09  1.256194E-08  5.847887E-08  2.155988E-08
    169  5.658568452696E-02  3.999316E-21  3.519910E-18  1.738316E-14  2.606814E-12  2.742408E-09  8.395611E-09  4.054073E-08  1.534251E-08
    170  5.682194908758E-02  2.316164E-21  2.060670E-18  1.069911E-14  1.664788E-12  1.839410E-09  5.785316E-09  2.886965E-08  1.118524E-08
    171  5.707748662895E-02  1.299343E-21  1.143427E-18  6.263164E-15  1.014322E-12  1.181750E-09  3.827275E-09  1.979145E-08  7.865704E-09
    172  5.730159219632E-02  8.014770E-22  6.775510E-19  3.887286E-15  6.520591E-13  7.958618E-10  2.644736E-09  1.411158E-08  5.735326E-09
    173  5.769211250520E-02  3.809900E-22  2.694322E-19  1.672475E-15  2.982505E-13  3.947851E-10  1.372202E-09  7.733882E-09  3.268830E-09
    174  5.804755660481E-02  2.267823E-22  1.156222E-19  7.687740E-16  1.450403E-13  2.068983E-10  7.494032E-10  4.440986E-09  1.945398E-09
