 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                fe60          fe61          fe62          fe63          fe64          fe65          fe66          fe67 
    152  5.293536770993E-02  2.908842E-07  1.388907E-07  3.735354E-07  5.716903E-08  2.009694E-08  1.686274E-09  5.036008E-10  3.513256E-11
    153  5.310288915571E-02  2.965339E-07  1.437820E-07  3.963207E-07  6.139889E-08  2.205862E-08  1.871752E-09  5.712680E-10  4.029755E-11
    154  5.325369291828E-02  2.990137E-07  1.470089E-07  4.143003E-07  6.489271E-08  2.377589E-08  2.037965E-09  6.343017E-10  4.519327E-11
    155  5.339308966526E-02  2.989619E-07  1.488830E-07  4.282822E-07  6.776816E-08  2.528488E-08  2.187675E-09  6.933632E-10  4.986020E-11
    156  5.362726198018E-02  2.936616E-07  1.494399E-07  4.449861E-07  7.162669E-08  2.755493E-08  2.421861E-09  7.913776E-10  5.779972E-11
    157  5.383816121000E-02  2.834106E-07  1.470675E-07  4.518028E-07  7.385739E-08  2.921037E-08  2.604062E-09  8.747345E-10  6.479092E-11
    158  5.403768730975E-02  2.693987E-07  1.424107E-07  4.506463E-07  7.475702E-08  3.035293E-08  2.742545E-09  9.456982E-10  7.098466E-11
    159  5.422986619970E-02  2.526018E-07  1.359416E-07  4.426454E-07  7.447741E-08  3.101616E-08  2.839046E-09  1.004045E-09  7.633687E-11
    160  5.440569294967E-02  2.350517E-07  1.285887E-07  4.298119E-07  7.326373E-08  3.122871E-08  2.892655E-09  1.046999E-09  8.054332E-11
    161  5.456994612052E-02  2.173490E-07  1.207440E-07  4.136010E-07  7.136330E-08  3.108840E-08  2.911825E-09  1.077064E-09  8.377155E-11
    162  5.485681963417E-02  1.849576E-07  1.055519E-07  3.774078E-07  6.652153E-08  3.010645E-08  2.875197E-09  1.104723E-09  8.759038E-11
    163  5.511708850657E-02  1.557039E-07  9.105858E-08  3.385279E-07  6.083739E-08  2.850721E-08  2.770992E-09  1.102184E-09  8.893057E-11
    164  5.536560227933E-02  1.292858E-07  7.740220E-08  2.986943E-07  5.468576E-08  2.649167E-08  2.618950E-09  1.076808E-09  8.834790E-11
    165  5.559867087093E-02  1.066736E-07  6.528857E-08  2.609380E-07  4.861599E-08  2.430025E-08  2.440743E-09  1.035310E-09  8.628794E-11
    166  5.582344501454E-02  8.723543E-08  5.454323E-08  2.255218E-07  4.273445E-08  2.201784E-08  2.245671E-09  9.817388E-10  8.307436E-11
    167  5.608267729631E-02  6.797985E-08  4.356619E-08  1.873506E-07  3.620319E-08  1.931887E-08  2.005624E-09  9.079486E-10  7.818989E-11
    168  5.632179590432E-02  5.321082E-08  3.488916E-08  1.555845E-07  3.061448E-08  1.687574E-08  1.780912E-09  8.326829E-10  7.288002E-11
    169  5.658568452696E-02  4.001112E-08  2.690622E-08  1.249025E-07  2.507524E-08  1.432837E-08  1.539721E-09  7.461234E-10  6.648554E-11
    170  5.682194908758E-02  3.063894E-08  2.107697E-08  1.014324E-07  2.073377E-08  1.223645E-08  1.336460E-09  6.687592E-10  6.055801E-11
    171  5.707748662895E-02  2.271031E-08  1.601243E-08  8.012872E-08  1.670259E-08  1.020889E-08  1.134813E-09  5.879845E-10  5.417989E-11
    172  5.730159219632E-02  1.732534E-08  1.248322E-08  6.464923E-08  1.370983E-08  8.641994E-09  9.756117E-10  5.212235E-10  4.876952E-11
    173  5.769211250520E-02  1.064373E-08  7.965385E-09  4.380544E-08  9.573784E-09  6.369706E-09  7.388039E-10  4.164667E-10  4.002565E-11
    174  5.804755660481E-02  6.733390E-09  5.216832E-09  3.030964E-08  6.809208E-09  4.759697E-09  5.658508E-10  3.350097E-10  3.299372E-11
