 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                si28          si29          si30          si31          si32          si33          si34          si35 
    136  5.035511419132E-02  2.541467E-16  4.872253E-15  2.181888E-12  5.534114E-12  1.111180E-10  4.903221E-12  3.551394E-12  5.303674E-15
    137  5.051299755300E-02  2.453618E-16  4.234932E-15  1.843475E-12  4.757604E-12  9.789933E-11  4.367881E-12  3.229266E-12  4.844832E-15
    138  5.067010535678E-02  2.398646E-16  3.720535E-15  1.556682E-12  4.087409E-12  8.617225E-11  3.887193E-12  2.933106E-12  4.420742E-15
    139  5.082726902819E-02  2.370682E-16  3.306160E-15  1.312712E-12  3.506818E-12  7.572980E-11  3.453992E-12  2.659833E-12  4.027356E-15
    140  5.098506829486E-02  2.365369E-16  2.974526E-15  1.104873E-12  3.003125E-12  6.641677E-11  3.062972E-12  2.407264E-12  3.661851E-15
    141  5.114361869269E-02  2.379333E-16  2.712553E-15  9.281643E-13  2.566991E-12  5.812558E-11  2.710638E-12  2.174207E-12  3.322797E-15
    142  5.130328078870E-02  2.409903E-16  2.509009E-15  7.780445E-13  2.189648E-12  5.074825E-11  2.393327E-12  1.959240E-12  3.008401E-15
    143  5.146205644840E-02  2.454269E-16  2.356674E-15  6.524020E-13  1.868032E-12  4.428131E-11  2.111806E-12  1.763909E-12  2.721215E-15
    144  5.162089365231E-02  2.510608E-16  2.246032E-15  5.468213E-13  1.592859E-12  3.859094E-11  1.861120E-12  1.585797E-12  2.457978E-15
    145  5.177902725711E-02  2.577004E-16  2.170608E-15  4.587269E-13  1.359143E-12  3.362075E-11  1.639571E-12  1.424637E-12  2.218574E-15
    146  5.193558292952E-02  2.652023E-16  2.124522E-15  3.855274E-13  1.161491E-12  2.929924E-11  1.444656E-12  1.279512E-12  2.001875E-15
    147  5.207655208218E-02  2.726461E-16  2.103828E-15  3.300129E-13  1.009143E-12  2.587965E-11  1.288758E-12  1.160898E-12  1.823945E-15
    148  5.220437120847E-02  2.799059E-16  2.099736E-15  2.870629E-13  8.895934E-13  2.313222E-11  1.162328E-12  1.062848E-12  1.676278E-15
    149  5.240275279905E-02  2.920543E-16  2.116903E-15  2.322274E-13  7.344597E-13  1.946600E-11  9.918032E-13  9.276319E-13  1.471724E-15
    150  5.258707116153E-02  3.042228E-16  2.154442E-15  1.920433E-13  6.186919E-13  1.663908E-11  8.587536E-13  8.194621E-13  1.307306E-15
    151  5.276353482958E-02  3.166148E-16  2.206670E-15  1.615047E-13  5.293506E-13  1.439095E-11  7.518994E-13  7.306995E-13  1.171888E-15
    152  5.293536770993E-02  3.293435E-16  2.270564E-15  1.378893E-13  4.593899E-13  1.258062E-11  6.651832E-13  6.573535E-13  1.059712E-15
    153  5.310288915571E-02  3.423612E-16  2.343597E-15  1.196441E-13  4.048350E-13  1.113193E-11  5.954260E-13  5.975319E-13  9.681411E-16
