 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                y87           y88           y89           y90           y91           y92           y93           y94  
    132  4.971624312404E-02  1.011865E-23  3.514880E-21  1.224053E-18  8.964585E-18  2.634894E-17  1.590018E-17  6.014711E-17  3.732238E-17
    133  4.987811857735E-02  1.322239E-23  4.716975E-21  1.698381E-18  1.266086E-17  3.800045E-17  2.335417E-17  8.998080E-17  5.688072E-17
    134  5.003799836445E-02  1.714347E-23  6.279689E-21  2.337301E-18  1.773222E-17  5.433658E-17  3.400355E-17  1.334124E-16  8.589871E-17
    135  5.019682549602E-02  2.209711E-23  8.310308E-21  3.196993E-18  2.468158E-17  7.720848E-17  4.919473E-17  1.965328E-16  1.288726E-16
    136  5.035511419132E-02  2.834178E-23  1.094315E-20  4.351102E-18  3.418227E-17  1.091553E-16  7.081272E-17  2.880421E-16  1.923548E-16
    137  5.051299755300E-02  3.618132E-23  1.434273E-20  5.894067E-18  4.711729E-17  1.535930E-16  1.014492E-16  4.201564E-16  2.857404E-16
    138  5.067010535678E-02  4.594720E-23  1.869863E-20  7.941046E-18  6.459245E-17  2.149287E-16  1.445310E-16  6.094142E-16  4.220464E-16
    139  5.082726902819E-02  5.811294E-23  2.428044E-20  1.065717E-17  8.820630E-17  2.996094E-16  2.051311E-16  8.806126E-16  6.210623E-16
    140  5.098506829486E-02  7.325358E-23  3.142802E-20  1.425949E-17  1.201042E-16  4.164970E-16  2.903664E-16  1.269238E-15  9.116765E-16
    141  5.114361869269E-02  9.202189E-23  4.054748E-20  1.902162E-17  1.630597E-16  5.773767E-16  4.099276E-16  1.824713E-15  1.335026E-15
    142  5.130328078870E-02  1.152234E-22  5.215604E-20  2.530535E-17  2.208120E-16  7.985026E-16  5.774453E-16  2.617909E-15  1.951266E-15
    143  5.146205644840E-02  1.433561E-22  6.665499E-20  3.344340E-17  2.970311E-16  1.096894E-15  8.079026E-16  3.730135E-15  2.832175E-15
    144  5.162089365231E-02  1.773967E-22  8.473135E-20  4.396667E-17  3.974763E-16  1.499013E-15  1.124554E-15  5.287875E-15  4.090031E-15
