 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                cl29          cl30          cl31          cl32          cl33          cl34          cl35          cl36 
    160  5.440569294967E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.157457E-27  1.294900E-23  7.538847E-19  4.383915E-17
    161  5.456994612052E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.113948E-27  1.189883E-23  7.015947E-19  4.071142E-17
    162  5.485681963417E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.051890E-27  1.043301E-23  6.297349E-19  3.655888E-17
    163  5.511708850657E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.005331E-27  9.374600E-24  5.784056E-19  3.372433E-17
    164  5.536560227933E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  9.660521E-28  8.523148E-24  5.369626E-19  3.151278E-17
    165  5.559867087093E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  9.320829E-28  7.826085E-24  5.024866E-19  2.970693E-17
    166  5.582344501454E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  9.011024E-28  7.224679E-24  4.719871E-19  2.811897E-17
    167  5.608267729631E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  8.668333E-28  6.602556E-24  4.394158E-19  2.641328E-17
    168  5.632179590432E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  8.362309E-28  6.086543E-24  4.114144E-19  2.492641E-17
    169  5.658568452696E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  8.033680E-28  5.572885E-24  3.824831E-19  2.336194E-17
    170  5.682194908758E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.746753E-28  5.157002E-24  3.581798E-19  2.202154E-17
    171  5.707748662895E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.443886E-28  4.748855E-24  3.334750E-19  2.063215E-17
    172  5.730159219632E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.184620E-28  4.422974E-24  3.130875E-19  1.946414E-17
    173  5.769211250520E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  6.747377E-28  3.917840E-24  2.801994E-19  1.753874E-17
    174  5.804755660481E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  6.365674E-28  3.518279E-24  2.529662E-19  1.590540E-17
