 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                la133         la134         la135         la136         la137         la138         la139         la140
    154  5.325369291828E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.787553E-30  2.529296E-29  1.685131E-28  9.641363E-29
    155  5.339308966526E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.591385E-30  2.234309E-29  1.516179E-28  8.730681E-29
    156  5.362726198018E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.521475E-30  3.750051E-29  2.648828E-28  1.560065E-28
    157  5.383816121000E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.081617E-30  3.112812E-29  2.306876E-28  1.396082E-28
    158  5.403768730975E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.882075E-30  2.906065E-29  2.202738E-28  1.351325E-28
    159  5.422986619970E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.718356E-30  2.780547E-29  2.163275E-28  1.343035E-28
    160  5.440569294967E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.491407E-30  2.485377E-29  1.996685E-28  1.260514E-28
    161  5.456994612052E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.326664E-30  2.195846E-29  1.812497E-28  1.157263E-28
    162  5.485681963417E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.137728E-30  3.781157E-29  3.287269E-28  2.156706E-28
    163  5.511708850657E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.772103E-30  3.158945E-29  2.856778E-28  1.923748E-28
    164  5.536560227933E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.594234E-30  3.020571E-29  2.823199E-28  1.929191E-28
    165  5.559867087093E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.387865E-30  2.744083E-29  2.677781E-28  1.870634E-28
    166  5.582344501454E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.250308E-30  2.465376E-29  2.516731E-28  1.794503E-28
    167  5.608267729631E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.315973E-30  2.720554E-29  2.903941E-28  2.117930E-28
    168  5.632179590432E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.118235E-30  2.415454E-29  2.712651E-28  2.034224E-28
    169  5.658568452696E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.153742E-30  2.565579E-29  2.988135E-28  2.280654E-28
    170  5.682194908758E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.244262E-29  2.723573E-28  2.124209E-28
    171  5.707748662895E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.312188E-29  2.932787E-28  2.339982E-28
    172  5.730159219632E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.995877E-29  2.638816E-28  2.151611E-28
    173  5.769211250520E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.246009E-30  3.375699E-29  4.821788E-28  4.069082E-28
    174  5.804755660481E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.068452E-30  2.903550E-29  4.122796E-28  3.506299E-28
    175  5.837706807704E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.624819E-29  4.177304E-28  3.739134E-28
