 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ca41          ca42          ca43          ca44          ca45          ca46          ca47          ca48 
    145  5.177902725711E-02  2.256155E-20  3.379667E-17  3.152737E-15  1.714192E-12  4.462375E-11  5.248429E-09  7.136049E-08  3.979359E-06
    146  5.193558292952E-02  1.909214E-20  2.918574E-17  2.776789E-15  1.556695E-12  4.140744E-11  5.010424E-09  6.960774E-08  3.992579E-06
    147  5.207655208218E-02  1.638732E-20  2.546561E-17  2.465184E-15  1.420683E-12  3.853208E-11  4.783589E-09  6.776030E-08  3.986794E-06
    148  5.220437120847E-02  1.424195E-20  2.242278E-17  2.204042E-15  1.302391E-12  3.595325E-11  4.568566E-09  6.586587E-08  3.965897E-06
    149  5.240275279905E-02  1.142093E-20  1.827108E-17  1.837136E-15  1.128607E-12  3.202327E-11  4.219143E-09  6.251815E-08  3.901894E-06
    150  5.258707116153E-02  9.280109E-21  1.498057E-17  1.536046E-15  9.783034E-13  2.847679E-11  3.880392E-09  5.898350E-08  3.806305E-06
    151  5.276353482958E-02  7.599648E-21  1.229022E-17  1.281665E-15  8.449244E-13  2.520417E-11  3.547160E-09  5.525229E-08  3.681495E-06
    152  5.293536770993E-02  6.259658E-21  1.006011E-17  1.064034E-15  7.253295E-13  2.215959E-11  3.218431E-09  5.134068E-08  3.529269E-06
    153  5.310288915571E-02  5.193596E-21  8.218910E-18  8.787590E-16  6.188066E-13  1.935111E-11  2.898256E-09  4.732099E-08  3.353493E-06
    154  5.325369291828E-02  4.407388E-21  6.814279E-18  7.332998E-16  5.315952E-13  1.697681E-11  2.614065E-09  4.358475E-08  3.174603E-06
    155  5.339308966526E-02  3.805971E-21  5.707282E-18  6.156416E-16  4.583428E-13  1.492480E-11  2.357766E-09  4.008112E-08  2.994425E-06
    156  5.362726198018E-02  3.020958E-21  4.210193E-18  4.512440E-16  3.510674E-13  1.181172E-11  1.948192E-09  3.421640E-08  2.667700E-06
    157  5.383816121000E-02  2.506706E-21  3.190391E-18  3.347475E-16  2.706900E-13  9.380457E-12  1.608777E-09  2.910018E-08  2.358174E-06
    158  5.403768730975E-02  2.149405E-21  2.460480E-18  2.483043E-16  2.079619E-13  7.411521E-12  1.319171E-09  2.453848E-08  2.062954E-06
    159  5.422986619970E-02  1.896043E-21  1.933197E-18  1.837148E-16  1.588163E-13  5.815099E-12  1.072772E-09  2.050080E-08  1.785701E-06
    160  5.440569294967E-02  1.723108E-21  1.571394E-18  1.379926E-16  1.224654E-13  4.596457E-12  8.762474E-10  1.716424E-08  1.544432E-06
    161  5.456994612052E-02  1.599728E-21  1.315908E-18  1.047901E-16  9.499269E-14  3.648767E-12  7.172669E-10  1.437866E-08  1.333688E-06
    162  5.485681963417E-02  1.445973E-21  1.011937E-18  6.394394E-17  5.944986E-14  2.377572E-12  4.931251E-10  1.029303E-08  1.006810E-06
    163  5.511708850657E-02  1.349738E-21  8.441658E-19  4.059416E-17  3.784169E-14  1.569837E-12  3.418676E-10  7.403011E-09  7.599172E-07
    164  5.536560227933E-02  1.279685E-21  7.445798E-19  2.648818E-17  2.404641E-14  1.032899E-12  2.356607E-10  5.285677E-09  5.681759E-07
    165  5.559867087093E-02  1.224652E-21  6.847643E-19  1.810578E-17  1.543126E-14  6.846839E-13  1.631860E-10  3.782997E-09  4.246499E-07
    166  5.582344501454E-02  1.176716E-21  6.459456E-19  1.294288E-17  9.890927E-15  4.526722E-13  1.125545E-10  2.694092E-09  3.154287E-07
    167  5.608267729631E-02  1.124433E-21  6.147388E-19  9.292783E-18  5.819675E-15  2.758087E-13  7.200450E-11  1.788412E-09  2.198494E-07
    168  5.632179590432E-02  1.077424E-21  5.930464E-19  7.287452E-18  3.518539E-15  1.719730E-13  4.695090E-11  1.206717E-09  1.551820E-07
    169  5.658568452696E-02  1.026111E-21  5.729983E-19  5.969374E-18  1.996080E-15  1.006498E-13  2.885102E-11  7.700526E-10  1.040808E-07
    170  5.682194908758E-02  9.805246E-22  5.565732E-19  5.254304E-18  1.193842E-15  6.163367E-14  1.843854E-11  5.090932E-10  7.195073E-08
    171  5.707748662895E-02  9.317170E-22  5.393290E-19  4.760551E-18  6.841735E-16  3.594533E-14  1.124363E-11  3.220406E-10  4.776745E-08
    172  5.730159219632E-02  8.895233E-22  5.242218E-19  4.464658E-18  4.226059E-16  2.229300E-14  7.234055E-12  2.139818E-10  3.311483E-08
    173  5.769211250520E-02  8.178636E-22  4.975148E-19  4.104959E-18  1.904167E-16  9.676651E-15  3.315520E-12  1.037273E-10  1.728613E-08
    174  5.804755660481E-02  7.552328E-22  4.727241E-19  3.858255E-18  1.010980E-16  4.579565E-15  1.617132E-12  5.326512E-11  9.502389E-09
