 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                na22          na23          na24          na25          na26          na27          na28          na29 
     99  4.384703699487E-02  2.243076E-18  3.128154E-14  4.464808E-14  1.183066E-12  9.921655E-14  2.739729E-14  2.470420E-17  1.560612E-19
    100  4.408801045744E-02  2.073771E-18  2.885843E-14  4.127588E-14  1.074028E-12  9.077137E-14  2.521226E-14  2.295247E-17  1.470544E-19
    101  4.430336182063E-02  1.924234E-18  2.672176E-14  3.833673E-14  9.829435E-13  8.363463E-14  2.333744E-14  2.142785E-17  1.390187E-19
    102  4.453208602613E-02  1.769155E-18  2.448798E-14  3.529210E-14  8.928577E-13  7.651886E-14  2.145035E-14  1.987483E-17  1.306689E-19
    103  4.474836808964E-02  1.626839E-18  2.240290E-14  3.246827E-14  8.133888E-13  7.020521E-14  1.976827E-14  1.847483E-17  1.230032E-19
    104  4.497736119052E-02  1.481470E-18  2.022313E-14  2.952478E-14  7.345563E-13  6.391486E-14  1.809188E-14  1.706408E-17  1.151426E-19
    105  4.517199675598E-02  1.362701E-18  1.839566E-14  2.705584E-14  6.712698E-13  5.884605E-14  1.674442E-14  1.591780E-17  1.086464E-19
    106  4.536038532241E-02  1.252392E-18  1.665464E-14  2.469615E-14  6.127952E-13  5.414432E-14  1.549867E-14  1.484707E-17  1.024798E-19
    107  4.552484255766E-02  1.160281E-18  1.516480E-14  2.266680E-14  5.637695E-13  5.018425E-14  1.445238E-14  1.393867E-17  9.716452E-20
    108  4.581275722245E-02  1.009982E-18  1.265225E-14  1.921260E-14  4.821460E-13  4.353785E-14  1.269853E-14  1.239490E-17  8.793308E-20
    109  4.603616864208E-02  9.047820E-19  1.081986E-14  1.665940E-14  4.226248E-13  3.863323E-14  1.140111E-14  1.123389E-17  8.080679E-20
    110  4.624194314299E-02  8.176944E-19  9.240888E-15  1.442853E-14  3.706707E-13  3.429614E-14  1.024588E-14  1.018459E-17  7.421117E-20
    111  4.641297951594E-02  7.536531E-19  8.031670E-15  1.269693E-14  3.301308E-13  3.086955E-14  9.325041E-15  9.337752E-18  6.878289E-20
    112  4.656990459822E-02  7.018812E-19  7.012607E-15  1.121899E-14  2.952280E-13  2.788455E-14  8.514892E-15  8.584735E-18  6.387458E-20
    113  4.671253119976E-02  6.607055E-19  6.165050E-15  9.974609E-15  2.655263E-13  2.531539E-14  7.810217E-15  7.923458E-18  5.949914E-20
    114  4.684580987606E-02  6.272416E-19  5.441951E-15  8.900360E-15  2.395822E-13  2.304680E-14  7.181231E-15  7.328090E-18  5.550632E-20
    115  4.697520204195E-02  5.992651E-19  4.803376E-15  7.940615E-15  2.161081E-13  2.097235E-14  6.599661E-15  6.773157E-18  5.173777E-20
    116  4.709649788536E-02  5.769171E-19  4.260357E-15  7.115165E-15  1.956501E-13  1.914571E-14  6.081797E-15  6.275281E-18  4.831699E-20
    117  4.721637454993E-02  5.583328E-19  3.774752E-15  6.368723E-15  1.768965E-13  1.745435E-14  5.596856E-15  5.805743E-18  4.505534E-20
    118  4.732862910872E-02  5.439058E-19  3.364029E-15  5.730467E-15  1.606372E-13  1.597357E-14  5.167495E-15  5.387228E-18  4.211794E-20
