 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                f22           f23           f24           f25           f26           ne16          ne17          ne18 
    163  5.511708850657E-02  1.226282E-18  2.182549E-18  2.199394E-21  3.067733E-24  1.426226E-28  1.000000E-30  1.000000E-30  7.369190E-28
    164  5.536560227933E-02  1.256098E-18  2.299007E-18  2.353163E-21  3.144874E-24  1.463034E-28  1.000000E-30  1.000000E-30  6.860248E-28
    165  5.559867087093E-02  1.283039E-18  2.411059E-18  2.504302E-21  3.216817E-24  1.497443E-28  1.000000E-30  1.000000E-30  6.411286E-28
    166  5.582344501454E-02  1.308106E-18  2.521840E-18  2.656805E-21  3.284245E-24  1.529786E-28  1.000000E-30  1.000000E-30  6.002984E-28
    167  5.608267729631E-02  1.335982E-18  2.653093E-18  2.841360E-21  3.360336E-24  1.566339E-28  1.000000E-30  1.000000E-30  5.561490E-28
    168  5.632179590432E-02  1.360802E-18  2.777708E-18  3.020347E-21  3.429506E-24  1.599638E-28  1.000000E-30  1.000000E-30  5.181004E-28
    169  5.658568452696E-02  1.387280E-18  2.919442E-18  3.228289E-21  3.504919E-24  1.636037E-28  1.000000E-30  1.000000E-30  4.789137E-28
    170  5.682194908758E-02  1.410225E-18  3.050283E-18  3.424275E-21  3.571754E-24  1.668369E-28  1.000000E-30  1.000000E-30  4.461708E-28
    171  5.707748662895E-02  1.434248E-18  3.196138E-18  3.647243E-21  3.643398E-24  1.703121E-28  1.000000E-30  1.000000E-30  4.130788E-28
    172  5.730159219632E-02  1.454636E-18  3.327847E-18  3.852614E-21  3.705678E-24  1.733402E-28  1.000000E-30  1.000000E-30  3.859156E-28
    173  5.769211250520E-02  1.488566E-18  3.565908E-18  4.233521E-21  3.811689E-24  1.785205E-28  1.000000E-30  1.000000E-30  3.423836E-28
    174  5.804755660481E-02  1.517485E-18  3.791869E-18  4.606763E-21  3.903344E-24  1.830144E-28  1.000000E-30  1.000000E-30  3.065927E-28
    175  5.837706807704E-02  1.542522E-18  4.009128E-18  4.976347E-21  3.985877E-24  1.870797E-28  1.000000E-30  1.000000E-30  2.764174E-28
