 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                mg23          mg24          mg25          mg26          mg27          mg28          mg29          mg30 
    148  5.220437120847E-02  2.848720E-22  5.426711E-15  7.008179E-15  1.316254E-13  3.545427E-14  2.076508E-13  2.698650E-15  2.458439E-16
    149  5.240275279905E-02  2.887177E-22  5.725011E-15  7.420869E-15  1.378734E-13  3.498831E-14  1.904689E-13  2.502010E-15  2.298148E-16
    150  5.258707116153E-02  2.920581E-22  6.016180E-15  7.826248E-15  1.444742E-13  3.506165E-14  1.792806E-13  2.378654E-15  2.201261E-16
    151  5.276353482958E-02  2.950335E-22  6.308131E-15  8.234979E-15  1.514628E-13  3.551739E-14  1.722323E-13  2.307237E-15  2.151077E-16
    152  5.293536770993E-02  2.977112E-22  6.605272E-15  8.653103E-15  1.588654E-13  3.627179E-14  1.683244E-13  2.276358E-15  2.138911E-16
    153  5.310288915571E-02  3.001047E-22  6.907653E-15  9.080656E-15  1.666322E-13  3.726408E-14  1.669425E-13  2.278916E-15  2.159364E-16
    154  5.325369291828E-02  3.020675E-22  7.190716E-15  9.482677E-15  1.740732E-13  3.834787E-14  1.674836E-13  2.305924E-15  2.203232E-16
    155  5.339308966526E-02  3.037162E-22  7.461877E-15  9.869345E-15  1.813287E-13  3.949450E-14  1.693139E-13  2.349849E-15  2.264127E-16
    156  5.362726198018E-02  3.061067E-22  7.937988E-15  1.055182E-14  1.943158E-13  4.169864E-14  1.748849E-13  2.460486E-15  2.407850E-16
    157  5.383816121000E-02  3.078505E-22  8.390263E-15  1.120413E-14  2.068923E-13  4.395490E-14  1.822263E-13  2.595980E-15  2.579909E-16
    158  5.403768730975E-02  3.091141E-22  8.838279E-15  1.185412E-14  2.195458E-13  4.630025E-14  1.909064E-13  2.752337E-15  2.778297E-16
    159  5.422986619970E-02  3.099335E-22  9.286682E-15  1.250869E-14  2.323905E-13  4.873046E-14  2.006444E-13  2.926552E-15  3.001128E-16
    160  5.440569294967E-02  3.103125E-22  9.709818E-15  1.313020E-14  2.446698E-13  5.108382E-14  2.105845E-13  3.104594E-15  3.231593E-16
    161  5.456994612052E-02  3.103281E-22  1.011508E-14  1.372910E-14  2.565730E-13  5.338374E-14  2.206664E-13  3.286112E-15  3.469763E-16
    162  5.485681963417E-02  3.095088E-22  1.084016E-14  1.481017E-14  2.782261E-13  5.759631E-14  2.398585E-13  3.635511E-15  3.937869E-16
    163  5.511708850657E-02  3.077869E-22  1.151073E-14  1.582197E-14  2.986859E-13  6.159619E-14  2.587933E-13  3.986267E-15  4.421178E-16
    164  5.536560227933E-02  3.052483E-22  1.215426E-14  1.680507E-14  3.187495E-13  6.552818E-14  2.779984E-13  4.348837E-15  4.935054E-16
    165  5.559867087093E-02  3.020826E-22  1.275420E-14  1.773351E-14  3.378728E-13  6.928081E-14  2.968524E-13  4.711855E-15  5.464210E-16
    166  5.582344501454E-02  2.983628E-22  1.332752E-14  1.863224E-14  3.565497E-13  7.294816E-14  3.157695E-13  5.083217E-15  6.020515E-16
    167  5.608267729631E-02  2.933230E-22  1.397660E-14  1.966491E-14  3.782247E-13  7.720722E-14  3.383718E-13  5.536572E-15  6.720132E-16
    168  5.632179590432E-02  2.880553E-22  1.456092E-14  2.060969E-14  3.982654E-13  8.114871E-14  3.599204E-13  5.978653E-15  7.423747E-16
    169  5.658568452696E-02  2.816808E-22  1.518913E-14  2.164266E-14  4.204130E-13  8.550983E-14  3.844964E-13  6.494438E-15  8.270608E-16
    170  5.682194908758E-02  2.755843E-22  1.573710E-14  2.255916E-14  4.402724E-13  8.942637E-14  4.072428E-13  6.982584E-15  9.096982E-16
    171  5.707748662895E-02  2.686882E-22  1.631564E-14  2.354318E-14  4.618137E-13  9.368245E-14  4.327013E-13  7.540806E-15  1.007049E-15
    172  5.730159219632E-02  2.624610E-22  1.681200E-14  2.440134E-14  4.807835E-13  9.743832E-14  4.558170E-13  8.058152E-15  1.099881E-15
    173  5.769211250520E-02  2.513894E-22  1.765702E-14  2.589253E-14  5.141406E-13  1.040622E-13  4.980725E-13  9.028339E-15  1.280380E-15
