 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                be9           be10          be11          be12          b8            b9            b10           b11  
    129  4.921259737621E-02  9.067405E-13  3.627428E-16  1.252583E-20  4.838913E-25  4.052243E-26  2.918979E-18  6.350356E-15  2.291303E-13
    130  4.938368810460E-02  9.057319E-13  3.627428E-16  1.252572E-20  4.812296E-25  3.725176E-26  2.797085E-18  6.258078E-15  2.349191E-13
    131  4.955132280349E-02  9.047626E-13  3.627428E-16  1.252562E-20  4.786358E-25  3.425228E-26  2.681155E-18  6.166433E-15  2.406797E-13
    132  4.971624312404E-02  9.038277E-13  3.627428E-16  1.252551E-20  4.760977E-25  3.149506E-26  2.570570E-18  6.075302E-15  2.464175E-13
    133  4.987811857735E-02  9.029283E-13  3.627428E-16  1.252541E-20  4.736196E-25  2.896962E-26  2.465410E-18  5.985092E-15  2.521025E-13
    134  5.003799836445E-02  9.020554E-13  3.627428E-16  1.252531E-20  4.711846E-25  2.663490E-26  2.364502E-18  5.894963E-15  2.577684E-13
    135  5.019682549602E-02  9.012055E-13  3.627428E-16  1.252521E-20  4.687781E-25  2.447543E-26  2.267491E-18  5.804941E-15  2.634184E-13
    136  5.035511419132E-02  9.003754E-13  3.627428E-16  1.252511E-20  4.663919E-25  2.247514E-26  2.174019E-18  5.714895E-15  2.690528E-13
    137  5.051299755300E-02  8.995639E-13  3.627428E-16  1.252501E-20  4.640240E-25  2.062325E-26  2.083942E-18  5.624858E-15  2.746587E-13
    138  5.067010535678E-02  8.987724E-13  3.627428E-16  1.252491E-20  4.616796E-25  1.891471E-26  1.997384E-18  5.535133E-15  2.802049E-13
    139  5.082726902819E-02  8.979958E-13  3.627428E-16  1.252481E-20  4.593463E-25  1.733180E-26  1.913809E-18  5.445323E-15  2.857017E-13
    140  5.098506829486E-02  8.972306E-13  3.627428E-16  1.252471E-20  4.570153E-25  1.586179E-26  1.832858E-18  5.355163E-15  2.911487E-13
    141  5.114361869269E-02  8.964757E-13  3.627428E-16  1.252461E-20  4.546852E-25  1.449756E-26  1.754436E-18  5.264640E-15  2.965270E-13
