 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                p32           p33           p34           p35           p36           p37           p38           p39  
    157  5.383816121000E-02  7.859669E-16  1.321638E-13  1.440652E-13  1.430107E-12  1.373375E-14  5.032451E-15  3.778254E-17  5.452056E-18
    158  5.403768730975E-02  7.120933E-16  1.154694E-13  1.281585E-13  1.303020E-12  1.262277E-14  4.731075E-15  3.589987E-17  5.287764E-18
    159  5.422986619970E-02  6.589738E-16  1.033070E-13  1.166641E-13  1.213644E-12  1.185634E-14  4.541830E-15  3.481992E-17  5.231346E-18
    160  5.440569294967E-02  6.217099E-16  9.474309E-14  1.087091E-13  1.154930E-12  1.137028E-14  4.443802E-15  3.439112E-17  5.261862E-18
    161  5.456994612052E-02  5.940650E-16  8.842132E-14  1.029857E-13  1.116052E-12  1.106743E-14  4.407621E-15  3.441382E-17  5.356162E-18
    162  5.485681963417E-02  5.571340E-16  8.013454E-14  9.583601E-14  1.075818E-12  1.080486E-14  4.447916E-15  3.527027E-17  5.657088E-18
    163  5.511708850657E-02  5.315064E-16  7.459410E-14  9.140851E-14  1.060146E-12  1.077171E-14  4.570893E-15  3.676111E-17  6.061068E-18
    164  5.536560227933E-02  5.111019E-16  7.035153E-14  8.825733E-14  1.056428E-12  1.085411E-14  4.742286E-15  3.865966E-17  6.545442E-18
    165  5.559867087093E-02  4.941155E-16  6.693068E-14  8.584564E-14  1.058650E-12  1.099160E-14  4.936371E-15  4.075811E-17  7.075516E-18
    166  5.582344501454E-02  4.789240E-16  6.394012E-14  8.378636E-14  1.063552E-12  1.115523E-14  5.145374E-15  4.301104E-17  7.649896E-18
    167  5.608267729631E-02  4.623697E-16  6.073439E-14  8.157871E-14  1.070599E-12  1.136201E-14  5.405247E-15  4.583282E-17  8.383928E-18
    168  5.632179590432E-02  4.477555E-16  5.794013E-14  7.961977E-14  1.077336E-12  1.155877E-14  5.658376E-15  4.861703E-17  9.127414E-18
    169  5.658568452696E-02  4.322016E-16  5.500153E-14  7.750354E-14  1.084455E-12  1.177651E-14  5.950325E-15  5.187853E-17  1.002406E-17
    170  5.682194908758E-02  4.187237E-16  5.248934E-14  7.564169E-14  1.090408E-12  1.197042E-14  6.222580E-15  5.496940E-17  1.089929E-17
    171  5.707748662895E-02  4.045905E-16  4.989740E-14  7.366921E-14  1.096479E-12  1.217983E-14  6.529478E-15  5.850824E-17  1.193068E-17
    172  5.730159219632E-02  3.925612E-16  4.773282E-14  7.198387E-14  1.101639E-12  1.236486E-14  6.810606E-15  6.179705E-17  1.291575E-17
